run_id,seed,fold,start_date,end_date,seconds,run_id,seed,signals.entry_z,signals.exit_z,signals.hard_stop_z,gates.fdr_alpha,gates.time_stop_multiple,gates.hl_min_days,gates.hl_max_days,risk.max_active_spreads,gates.adf_pvalue,Net Sharpe,Gross Sharpe,Net APR,Gross APR,Cost skip rate
000,300000,F1_2017_2018,2017-01-01,2018-12-31,6.015,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.20676354745545406,0.2691643041386398,0.007822626871162182,0.010206331865971674,0.0
000,300000,F2_2018_2019,2018-01-01,2019-12-31,6.024,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.2826557214214768,-0.17628683709591406,-0.006257481286350737,-0.0038920087072934744,0.0
000,300000,F3_2019_2020,2019-01-01,2020-12-31,7.052,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.1625645749959894,-0.11565864429496565,-0.005589137140003794,-0.003968861707448961,0.0
000,300000,F4_2020_2021,2020-01-01,2021-12-31,7.189,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-1.1738827292645793,-1.0638866239055438,-0.02970154539736512,-0.026753230199813835,0.0
000,300000,F5_2022_2023,2022-01-01,2023-12-31,6.073,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.5219857773702914,0.5765044163032363,0.017799999084298853,0.019656443162629704,0.0
000,300000,F1_2017_2018,2017-01-01,2018-12-31,5.719,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.20676354745545406,0.2691643041386398,0.007822626871162182,0.010206331865971674,0.0
000,300000,F2_2018_2019,2018-01-01,2019-12-31,5.131,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.2826557214214768,-0.17628683709591406,-0.006257481286350737,-0.0038920087072934744,0.0
000,300000,F3_2019_2020,2019-01-01,2020-12-31,6.314,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.1625645749959894,-0.11565864429496565,-0.005589137140003794,-0.003968861707448961,0.0
000,300000,F4_2020_2021,2020-01-01,2021-12-31,6.574,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-1.1738827292645793,-1.0638866239055438,-0.02970154539736512,-0.026753230199813835,0.0
000,300000,F5_2022_2023,2022-01-01,2023-12-31,5.523,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.5219857773702914,0.5765044163032363,0.017799999084298853,0.019656443162629704,0.0
